"","gene","model","correlation","pval","r2","lambda","fdr","Measure","Organ"
"971","PCDH7","free.lambda",0.172859041691243,1.67960196709382e-05,0.999963017919678,0,9.75461142427566e-05,"RPKM","Heart"
"841","LTBP2","free.lambda",0.34409455273107,2.09961899498315e-05,0.999809793316031,0,0.000117423136386095,"RPKM","Heart"
"1411","TRIM29","no.lambda",0.999132797789547,3.06519373799765e-05,0.998266347594361,0,0.000165301519442016,"RPKM","Heart"
"1421","TRIM63","free.lambda",-0.0982404038667204,5.75990913165072e-05,0.999788870344533,0,0.000299912509958365,"RPKM","Heart"
"6411","GHITM","free.lambda",-0.128892639772768,6.00781351458994e-05,0.999883491175236,0,0.00030239328023436,"RPKM","Heart"
"4313","DNALI1","free.lambda",-0.0851547336758773,7.90950918426082e-05,0.999851370349483,0,0.000385269640910769,"RPKM","Heart"
"1261","SMYD2","free.lambda",-0.502063191545433,0.000131140174790614,0.999850687880775,0,0.000618817699793209,"RPKM","Heart"
"1311","SV2A","no.lambda",0.997530816941112,0.000147232223894653,0.995067730748162,0,0.000673698963881593,"RPKM","Heart"
"3013","CGN","free.lambda",-0.99805865593668,0.000204245167623006,0.999570811773672,1,0.000881172008887828,"RPKM","Heart"
"3113","CHADL","free.lambda",0.224371127672335,0.000199325891265167,0.999981489153713,0,0.000881172008887828,"RPKM","Heart"
"931","NR4A3","free.lambda",-0.321285011454039,0.000231806509952762,0.99997423218264,0,0.000972299527857419,"RPKM","Heart"
"921","NEURL1B","free.lambda",0.240999372081171,0.000245385230621165,0.999835659030401,0,0.00100143702226476,"RPKM","Heart"
"751","IVD","free.lambda",0.0834079123054415,0.00028594683427836,0.999707502546782,0,0.0011362624204219,"RPKM","Heart"
"651","GPM6A","no.lambda",0.995544705441361,0.000356745129101634,0.991109260393041,0,0.00138124396139351,"RPKM","Heart"
"711","IFIT3","free.lambda",0.127621099584616,0.000745529331871664,0.999744683784119,0,0.00281437322781553,"RPKM","Heart"
"1451","UNC5A","no.lambda",0.982582841237632,0.00275208570361101,0.965469038987309,0,0.0101357302742747,"RPKM","Heart"
"710","ALDH5A1","free.lambda",0.147202072403976,0.00572888774052264,0.999865164804772,0,0.0205256933106324,"RPKM","Heart"
"4213","DGKG","free.lambda",0.360306174900154,0.00584506498249796,0.999865877604518,0,0.0205256933106324,"RPKM","Heart"
"1091","RBBP9","no.lambda",0.954361428567276,0.0116234836894137,0.910805735152896,0,0.0398896826613968,"RPKM","Heart"
"1381","TMOD1","fix.lambda",0.924963604581436,0.0243945200729181,0.739517211718114,0.697758546581957,0.0818571673557919,"RPKM","Heart"
"4413","DNM1","no.lambda",0.914471259211834,0.0296381025471725,0.836257682397225,0,0.0972902931439793,"RPKM","Heart"
"910","ANP32B","no.lambda",0.856369499982568,0.0639173409413273,0.733368721938602,0,0.205351457066817,"RPKM","Heart"
"741","IL33","no.lambda",-0.832331435333448,0.0803110873563923,0.692775620739582,0,0.252645295641984,"RPKM","Heart"
"4103","ADCYAP1R1","no.lambda",0.804760666130931,0.100470504492076,0.647639724952711,0,0.309613187312315,"RPKM","Heart"
