organ,measure,gene,model,correlation,pval,r2,lambda,fdr
testis,rpkm,KDM2B,no.lambda,-0.342862875,0.572163998,0.117554954,0,0.7222398
testis,rpkm,MED30,free.lambda,-0.910591821,0.577969623,0.998991907,0,0.728482546
testis,rpkm,TRIP11,no.lambda,0.336151275,0.580201892,0.112997676,0,0.730209513
testis,rpkm,FRMD6,fix.lambda,0.213234157,0.582461226,0.509175187,0.999933893,0.731965368
testis,rpkm,BTG4,free.lambda,0.914820361,0.591436911,0.918393139,0,0.742143798
testis,rpkm,FBLN5,no.lambda,-0.324698515,0.593964856,0.105429125,0,0.74370229
testis,rpkm,TXNDC16,no.lambda,-0.32430814,0.594435006,0.105175765,0,0.74370229
testis,rpkm,MAU2,no.lambda,0.322024616,0.597186465,0.103699852,0,0.744805935
testis,rpkm,PRKD1,no.lambda,-0.320657737,0.598834524,0.102821384,0,0.744805935
testis,rpkm,PRPF40A,no.lambda,-0.320723838,0.598754793,0.102863787,0,0.744805935
testis,rpkm,TAF5L,fix.lambda,-0.303535444,0.596590379,0.054626589,0.340840863,0.744805935
testis,rpkm,LETMD1,no.lambda,-0.319241894,0.600542476,0.101915384,0,0.74583501
testis,rpkm,RC3H1,no.lambda,0.316777619,0.603517203,0.100348058,0,0.748432022
testis,rpkm,CCDC77,no.lambda,-0.313091466,0.607971729,0.098026263,0,0.751754824
testis,rpkm,ZFP41,no.lambda,0.31354141,0.607427685,0.098308215,0,0.751754824
testis,rpkm,RTKN2,free.lambda,0.690973865,0.609023398,0.966870579,0,0.751957461
testis,rpkm,EXOSC3,no.lambda,-0.308089645,0.614025276,0.094919226,0,0.757029707
testis,rpkm,DNAJB5,no.lambda,0.305679812,0.616945512,0.093440145,0,0.758422131
testis,rpkm,GRIN2A,fix.lambda,-0.306535441,0.616857757,0.243820905,0.684773402,0.758422131
testis,rpkm,EPHX1,no.lambda,-0.304634833,0.618212557,0.09280238,0,0.758878313
testis,rpkm,BPIFC,free.lambda,-0.417536179,0.62118206,0.961881523,0,0.761419978
testis,rpkm,ACO1,no.lambda,-0.298027257,0.626234523,0.088820246,0,0.765450227
testis,rpkm,PPP2R1B,fix.lambda,0.529125592,0.626277459,0.371722273,0.991976558,0.765450227
testis,rpkm,ALDH1A1,no.lambda,-0.296085396,0.628595374,0.087666559,0,0.766800162
testis,rpkm,ETF1,free.lambda,-0.319199531,0.629192577,0.624531356,0,0.766800162
testis,rpkm,CLPSL1,no.lambda,0.292568454,0.632874926,0.0855963,0,0.769580832
testis,rpkm,PFKFB3,no.lambda,-0.290897049,0.634910453,0.084621093,0,0.769580832
testis,rpkm,TMEM179B,free.lambda,0.5666152,0.635061728,0.99984444,0,0.769580832
testis,rpkm,ZFPM2,fix.lambda,-0.292250217,0.63510862,0.639720097,0.999933893,0.769580832
testis,rpkm,AP1B1,free.lambda,-0.509393419,0.636658633,0.661273921,0,0.770286657
testis,rpkm,GSE1,no.lambda,-0.288483871,0.637851252,0.083222945,0,0.770286657
testis,rpkm,IGFBP7,no.lambda,-0.287490303,0.639062711,0.082650674,0,0.770286657
testis,rpkm,IRAK4,no.lambda,-0.287272087,0.639328831,0.082525252,0,0.770286657
testis,rpkm,ZNF444,fix.lambda,-0.286792919,0.641646443,0.187843032,0.354951985,0.771980876
testis,rpkm,MFHAS1,no.lambda,-0.281460015,0.646423469,0.07921974,0,0.776625075
testis,rpkm,FBXW7,no.lambda,0.278060622,0.650578885,0.077317708,0,0.780510362
testis,rpkm,BCAS1,no.lambda,0.275127589,0.654167651,0.075695186,0,0.78149958
testis,rpkm,CCDC97,free.lambda,-0.058171715,0.654171431,0.624469851,0,0.78149958
testis,rpkm,GLT6D1,fix.lambda,-0.213958591,0.652650305,0.703665762,0.999933893,0.78149958
testis,rpkm,SCMH1,fix.lambda,-0.234914296,0.657356921,0.487915913,0.999933893,0.784199031
testis,rpkm,CGN,no.lambda,-0.270010707,0.660435961,0.072905784,0,0.786325464
testis,rpkm,ZC3H7B,no.lambda,0.26955381,0.66099614,0.072659255,0,0.786325464
testis,rpkm,MBNL2,no.lambda,-0.268587754,0.662180795,0.072139381,0,0.78662992
testis,rpkm,DHRS1,no.lambda,0.266863966,0.66429546,0.07121638,0,0.788036771
testis,rpkm,COL25A1,fix.lambda,-0.348943475,0.666665584,0.502480516,0.818071594,0.789718754
testis,rpkm,CRY2,no.lambda,-0.264189821,0.667578073,0.069796261,0,0.789718754
testis,rpkm,SMC3,no.lambda,0.262897506,0.669165331,0.069115097,0,0.790492379
testis,rpkm,S100A2,no.lambda,-0.260732972,0.671825169,0.06798168,0,0.791426869
testis,rpkm,UBXN6,no.lambda,0.261109624,0.671362211,0.068178235,0,0.791426869
testis,rpkm,RABGGTA,no.lambda,-0.258586823,0.674463997,0.066867146,0,0.793431952
testis,rpkm,CACNA2D2,no.lambda,-0.256854033,0.676595727,0.065973994,0,0.794835757
testis,rpkm,DNAJC10,fix.lambda,-0.237541546,0.679572349,0.055693236,0.418041937,0.797226842
testis,rpkm,FASN,no.lambda,0.251770775,0.682855115,0.06338853,0,0.799969962
testis,rpkm,PPP1R27,no.lambda,-0.248472037,0.68692171,0.061738354,0,0.803622498
testis,rpkm,TDRD5,free.lambda,0.029801896,0.691392931,0.99728121,0,0.807737672
testis,rpkm,MGAT5,no.lambda,-0.241377521,0.695679576,0.05826311,0,0.811626172
testis,rpkm,PWWP2A,no.lambda,-0.239743447,0.69769906,0.057476917,0,0.812862591
testis,rpkm,PTK2,no.lambda,-0.236724477,0.701432251,0.056038477,0,0.814969981
testis,rpkm,SNX8,free.lambda,-0.141835192,0.701193957,0.678309728,0,0.814969981
testis,rpkm,ZNF438,no.lambda,-0.235635612,0.702779406,0.055524144,0,0.815416653
testis,rpkm,CRTAC1,free.lambda,-0.010501793,0.70821498,0.365215308,0,0.8205993
testis,rpkm,FKBPL,free.lambda,-0.308668039,0.715306801,0.840110682,1,0.827684236
testis,rpkm,LRIG1,no.lambda,-0.223658462,0.717621526,0.050023109,0,0.829229785
testis,rpkm,TEDC1,no.lambda,-0.221779148,0.719954244,0.049185991,0,0.830791886
testis,rpkm,SCAND1,no.lambda,-0.220152891,0.72197368,0.048467294,0,0.831988717
testis,rpkm,LHCGR,free.lambda,-0.040068076,0.723291719,0.670952521,1,0.832375117
testis,rpkm,JCAD,free.lambda,0.86933514,0.727605064,0.898069767,0,0.835069769
testis,rpkm,KLHDC10,no.lambda,-0.216096918,0.727013547,0.046697878,0,0.835069769
testis,rpkm,BANF2,no.lambda,-0.212901912,0.730986863,0.045327226,0,0.837815796
testis,rpkm,CLSPN,free.lambda,0.790498374,0.736496822,0.999894743,0,0.839586552
testis,rpkm,MTF1,free.lambda,0.480952044,0.735422645,0.53055319,0,0.839586552
testis,rpkm,RHOBTB3,no.lambda,-0.209905443,0.73471586,0.044060295,0,0.839586552
testis,rpkm,ZNF740,no.lambda,0.208853438,0.736025624,0.043619759,0,0.839586552
testis,rpkm,ZDHHC6,no.lambda,0.206988799,0.738347881,0.04284436,0,0.840565397
testis,rpkm,AP4S1,no.lambda,-0.200143306,0.746881301,0.040057344,0,0.848000619
testis,rpkm,TRIM29,no.lambda,-0.200613651,0.746294584,0.040245838,0,0.848000619
testis,rpkm,PLD5,free.lambda,-0.270849621,0.750910021,0.848649451,1,0.851433451
testis,rpkm,PSPC1,no.lambda,-0.195932419,0.752136583,0.038389512,0,0.851684072
testis,rpkm,EXOC6,free.lambda,-0.071451535,0.755762032,0.996963187,0,0.852370761
testis,rpkm,PDGFRL,no.lambda,-0.193417089,0.75527792,0.037410172,0,0.852370761
testis,rpkm,ZFYVE16,no.lambda,-0.194244632,0.75424425,0.037730976,0,0.852370761
testis,rpkm,SIAH2,no.lambda,-0.191140069,0.758123014,0.036534527,0,0.853896533
testis,rpkm,TNFRSF17,free.lambda,0.999227351,0.760777208,0.999573797,0,0.855748068
testis,rpkm,RYK,free.lambda,-0.459441306,0.762872512,0.620554234,0,0.856966867
testis,rpkm,BGN,no.lambda,-0.18413576,0.766882756,0.033905979,0,0.860013246
testis,rpkm,POLR1C,fix.lambda,-0.017382307,0.767615129,0.259983114,0.740265358,0.860013246
testis,rpkm,ACE2,free.lambda,-0.341010017,0.771498712,0.996891259,0,0.86258712
testis,rpkm,RSBN1L,no.lambda,-0.180088849,0.771949276,0.032431994,0,0.86258712
testis,rpkm,SLC24A2,free.lambda,-0.031694008,0.777013106,0.999072986,1,0.867101582
testis,rpkm,ALAS1,fix.lambda,-0.644578076,0.786704978,0.535687,0.999933893,0.872171618
testis,rpkm,CCDC158,no.lambda,-0.169396889,0.785353186,0.028695305,0,0.872171618
testis,rpkm,PDIA6,no.lambda,-0.168399933,0.786604312,0.028358537,0,0.872171618
testis,rpkm,SAE1,free.lambda,0.452309317,0.784583127,0.948947418,0,0.872171618
testis,rpkm,SLC5A10,free.lambda,-0.310420618,0.785153324,0.945356884,0,0.872171618
testis,rpkm,SUPT16H,no.lambda,0.166789134,0.788626234,0.027818615,0,0.873158719
testis,rpkm,SESTD1,no.lambda,0.164932698,0.790957179,0.027202796,0,0.874596254
testis,rpkm,DERA,no.lambda,-0.161197684,0.795649092,0.025984694,0,0.878637264
testis,rpkm,ERN1,free.lambda,0.115775529,0.802071387,0.819176161,1,0.879031331
testis,rpkm,HEBP2,no.lambda,-0.159214182,0.798141948,0.025349156,0,0.879031331
testis,rpkm,L3MBTL4,fix.lambda,0.398324798,0.802441751,0.581581902,0.999933893,0.879031331
testis,rpkm,LAPTM5,no.lambda,0.155829405,0.80239777,0.024282805,0,0.879031331
testis,rpkm,NUB1,free.lambda,-0.139620485,0.802766267,0.726920444,0,0.879031331
testis,rpkm,PRICKLE1,no.lambda,-0.154763484,0.803738476,0.023951737,0,0.879031331
testis,rpkm,RELL2,free.lambda,-0.224781219,0.805346296,0.379027901,0,0.879031331
testis,rpkm,S100PBP,no.lambda,-0.154120106,0.804547844,0.023753003,0,0.879031331
testis,rpkm,ST3GAL5,no.lambda,0.155382297,0.802960116,0.024143658,0,0.879031331
testis,rpkm,TTC7A,fix.lambda,0.050933053,0.807162604,0.493862547,0.999933893,0.879879956
testis,rpkm,ARID4A,free.lambda,-0.040556536,0.810009729,0.794712955,0,0.881848638
testis,rpkm,ANXA1,free.lambda,0.468616773,0.811622256,0.593580807,0,0.882469898
testis,rpkm,NUDT1,no.lambda,0.147162946,0.813304855,0.021656933,0,0.883165657
testis,rpkm,CAPN7,no.lambda,0.142597049,0.819056995,0.020333918,0,0.888273079
testis,rpkm,ARHGDIA,free.lambda,-0.358659124,0.823071409,0.765047196,0,0.891062256
testis,rpkm,AVEN,no.lambda,-0.13888771,0.823732877,0.019289792,0,0.891062256
testis,rpkm,MYO6,no.lambda,-0.136341181,0.82694435,0.018588918,0,0.892257152
testis,rpkm,RHOT1,fix.lambda,0.298607464,0.826614657,0.314888432,0.890404784,0.892257152
testis,rpkm,OXR1,no.lambda,-0.132403162,0.831912921,0.017530596,0,0.896476138
testis,rpkm,CLK1,no.lambda,0.129766048,0.835241617,0.016839228,0,0.898314465
testis,rpkm,LPAR3,no.lambda,0.129371277,0.835740021,0.016736927,0,0.898314465
testis,rpkm,ACTR8,free.lambda,0.129867738,0.83863901,0.638163905,0,0.900288012
testis,rpkm,CHDH,no.lambda,0.124193627,0.84227921,0.015424056,0,0.900770821
testis,rpkm,CREB3L2,no.lambda,0.124263668,0.84219072,0.015441459,0,0.900770821
testis,rpkm,PISD,no.lambda,0.125278474,0.840908722,0.015694696,0,0.900770821
testis,rpkm,MEP1B,free.lambda,0.054607348,0.851221171,0.998808814,1,0.90918579
testis,rpkm,RMDN1,no.lambda,-0.112427419,0.857155102,0.012639924,0,0.914370745
testis,rpkm,TBC1D1,no.lambda,0.111555235,0.858258623,0.012444569,0,0.914396294
testis,rpkm,NDUFAF6,no.lambda,0.105322429,0.866147662,0.011092813,0,0.920485659
testis,rpkm,NID1,no.lambda,0.105699702,0.865669986,0.011172426,0,0.920485659
testis,rpkm,DOCK1,no.lambda,0.104280718,0.867466694,0.010874469,0,0.920732193
testis,rpkm,CHRNB2,no.lambda,0.09198499,0.883046442,0.008461239,0,0.934818813
testis,rpkm,FBLN1,no.lambda,-0.091193918,0.884049432,0.008316331,0,0.934818813
testis,rpkm,SLCO3A1,no.lambda,0.092833955,0.881970137,0.008618143,0,0.934818813
testis,rpkm,MYH9,no.lambda,0.088811091,0.887071037,0.007887409,0,0.93684435
testis,rpkm,FRMPD1,no.lambda,-0.086082279,0.890532153,0.007410159,0,0.938160116
testis,rpkm,KDSR,no.lambda,0.086598426,0.889877409,0.00749929,0,0.938160116
testis,rpkm,SPATA22,free.lambda,0.043795834,0.896069218,0.878217703,0,0.942820655
testis,rpkm,ABCA5,no.lambda,-0.078930237,0.899607354,0.006229982,0,0.945369018
testis,rpkm,USP50,free.lambda,-0.118791408,0.904689793,0.605239211,1,0.949531914
testis,rpkm,PENK,fix.lambda,-0.012237475,0.907868837,0.06758252,0.46837509,0.950259938
testis,rpkm,RCBTB2,no.lambda,-0.071729785,0.908749174,0.005145163,0,0.950259938
testis,rpkm,TGFB1,free.lambda,-0.357671994,0.907828658,0.435507187,0,0.950259938
testis,rpkm,USP16,free.lambda,0.001279634,0.913843405,0.754790376,0,0.954408587
testis,rpkm,AJUBA,free.lambda,-0.429843558,0.915036624,0.991670425,0,0.954477858
testis,rpkm,CFAP58,free.lambda,0.018013773,0.920843885,0.466704762,0,0.959353961
testis,rpkm,IPO4,fix.lambda,-0.030733213,0.927780513,0.149669925,0.645269487,0.965393237
testis,rpkm,ABCB11,free.lambda,0.045408411,0.945284061,0.660964529,1,0.976409268
testis,rpkm,EXOG,free.lambda,0.128945827,0.944952041,0.687297943,0,0.976409268
testis,rpkm,PHACTR2,free.lambda,0.23308988,0.944975237,0.863625445,0,0.976409268
testis,rpkm,PHTF2,fix.lambda,-0.033089799,0.942675864,0.026091481,0.412106567,0.976409268
testis,rpkm,RXRA,no.lambda,0.044179601,0.943767094,0.001951837,0,0.976409268
testis,rpkm,SH3GL3,free.lambda,-0.062803438,0.943300011,0.628356877,0,0.976409268
testis,rpkm,ZNF609,no.lambda,-0.041746129,0.946862621,0.001742739,0,0.976848527
testis,rpkm,SHPK,free.lambda,0.134310699,0.952316802,0.44002432,0,0.981280208
testis,rpkm,FRS3,free.lambda,0.494819874,0.962588928,0.824971523,0,0.985357257
testis,rpkm,IFIT3,free.lambda,0.010106416,0.963253612,0.344962475,1,0.985357257
testis,rpkm,OSER1,no.lambda,0.032011761,0.95924833,0.001024752,0,0.985357257
testis,rpkm,PPP1R1A,free.lambda,0.329532122,0.96169729,0.460923043,0,0.985357257
testis,rpkm,ST14,no.lambda,0.031201732,0.960279154,0.000973549,0,0.985357257
testis,rpkm,ZNF19,no.lambda,0.032919069,0.958093703,0.001083665,0,0.985357257
testis,rpkm,BRCA2,free.lambda,0.035776543,0.968046546,0.972515246,0,0.98641305
testis,rpkm,FPGS,no.lambda,-0.024185834,0.969208638,0.000584955,0,0.98641305
testis,rpkm,PFDN5,free.lambda,-0.362394542,0.966272941,0.966052893,0,0.98641305
testis,rpkm,UBAC1,no.lambda,0.023478725,0.970108702,0.000551251,0,0.98641305
testis,rpkm,USP22,no.lambda,0.024540748,0.968756884,0.000602248,0,0.98641305
testis,rpkm,DBF4B,fix.lambda,0.005487876,0.971754689,0.421639322,0.911094948,0.986901945
testis,rpkm,MYH14,no.lambda,-0.019277775,0.97545631,0.000371632,0,0.989474843
testis,rpkm,POC1A,no.lambda,0.016200787,0.979373425,0.000262465,0,0.992259917
testis,rpkm,ABHD12,free.lambda,-0.494275519,0.98436886,0.956066455,0,0.992331774
testis,rpkm,CAND2,fix.lambda,0.529648516,0.983432368,0.514568279,0.999933893,0.992331774
testis,rpkm,MTMR3,no.lambda,0.012294346,0.984346739,0.000151151,0,0.992331774
testis,rpkm,TEX26,no.lambda,-0.011543829,0.985302269,0.00013326,0,0.992331774
testis,rpkm,ZDHHC7,no.lambda,0.014385095,0.981684958,0.000206931,0,0.992331774
testis,rpkm,CRADD,free.lambda,0.458388987,0.987552375,0.543984848,0,0.992782643
testis,rpkm,NME8,fix.lambda,-0.024151912,0.988094177,0.159213237,0.603897491,0.992782643
testis,rpkm,EIF3M,no.lambda,-0.007275681,0.9907364,5.29E-05,0,0.994257975
testis,rpkm,FANCI,no.lambda,-0.003206091,0.995917882,1.03E-05,0,0.998275084
testis,rpkm,RRP9,no.lambda,-0.001783508,0.997729167,3.18E-06,0,0.998908516
testis,rpkm,USP42,free.lambda,0.395327011,0.999371284,0.759459989,0,0.999371284
