organ,measure,gene,model,correlation,pval,r2,lambda,fdr
testis,rpkm,KIF13A,no.lambda,0.696177817,0.191604905,0.484663551,0,0.358463023
testis,rpkm,LETM2,free.lambda,0.811783121,0.191716351,0.819097327,1,0.358463023
testis,rpkm,USP37,free.lambda,-0.414882146,0.191055804,0.653791189,0,0.358463023
testis,rpkm,LAMC2,fix.lambda,-0.627465867,0.193730255,0.461278033,0.880484541,0.36063632
testis,rpkm,PHF21A,no.lambda,0.69386411,0.193722974,0.481447404,0,0.36063632
testis,rpkm,PDE4C,free.lambda,-0.716360918,0.194258102,0.989876244,0,0.360825904
testis,rpkm,DAW1,free.lambda,0.078624842,0.19550595,0.476784091,0,0.362343941
testis,rpkm,KLK5,no.lambda,-0.691459785,0.195930962,0.478116632,0,0.362343941
testis,rpkm,PIK3C3,free.lambda,-0.817848144,0.198247727,0.88528516,0,0.365829684
testis,rpkm,PPOX,no.lambda,0.687590406,0.199499138,0.472780561,0,0.366594139
testis,rpkm,RTN4IP1,no.lambda,0.687559592,0.199527625,0.472738188,0,0.366594139
testis,rpkm,DCTN6,no.lambda,-0.686537991,0.200472761,0.471334406,0,0.367161959
testis,rpkm,TEX101,no.lambda,0.686288634,0.200703645,0.470992081,0,0.367161959
testis,rpkm,RANBP17,free.lambda,0.532646162,0.201404292,0.876155014,0,0.367649644
testis,rpkm,PDPN,free.lambda,-0.73253498,0.201949759,0.763609856,0,0.367852571
testis,rpkm,DGAT2,free.lambda,-0.267810012,0.2034039,0.493078758,0,0.36970623
testis,rpkm,ACAA1,no.lambda,0.680535041,0.206051621,0.463127938,0,0.373047935
testis,rpkm,SLC15A3,no.lambda,0.680458212,0.206123298,0.463023377,0,0.373047935
testis,rpkm,SLC39A10,free.lambda,-0.708596369,0.210110546,0.932668563,0,0.379453373
testis,rpkm,COPZ1,no.lambda,0.672877179,0.213230242,0.4527637,0,0.384268117
testis,rpkm,KCTD18,no.lambda,-0.672332479,0.213743462,0.452030958,0,0.384375186
testis,rpkm,PEA15,no.lambda,0.67091233,0.215083137,0.450123352,0,0.385964866
testis,rpkm,INPP5F,no.lambda,0.667034609,0.218752935,0.444935164,0,0.391720373
testis,rpkm,PRUNE2,no.lambda,0.666010331,0.219725151,0.443569768,0,0.39263123
testis,rpkm,MOB3B,no.lambda,0.665308233,0.220392264,0.442635044,0,0.392994205
testis,rpkm,CCDC88C,no.lambda,-0.662425174,0.223137493,0.438807107,0,0.396446396
testis,rpkm,CEP83,fix.lambda,-0.674042378,0.223264381,0.445420084,0.602028277,0.396446396
testis,rpkm,NR2C2AP,no.lambda,-0.659849538,0.225597913,0.435401405,0,0.39975195
testis,rpkm,ANKRD50,free.lambda,0.383281404,0.227797574,0.789946118,0,0.402806984
testis,rpkm,DCLK3,free.lambda,-0.64981264,0.229067217,0.979447982,0,0.404208192
testis,rpkm,IFT43,fix.lambda,0.524669158,0.229993429,0.598344695,0.999933893,0.404998823
testis,rpkm,THUMPD2,no.lambda,0.653809637,0.231396627,0.427467034,0,0.406624364
testis,rpkm,GLMP,no.lambda,-0.651598794,0.233529247,0.424580993,0,0.409522302
testis,rpkm,CLCN6,fix.lambda,0.576119745,0.235573103,0.292269856,0.64075787,0.412252931
testis,rpkm,ACTN1,no.lambda,0.647492175,0.237504743,0.419246124,0,0.413922875
testis,rpkm,UBIAD1,free.lambda,-0.145624551,0.237394912,0.962130826,1,0.413922875
testis,rpkm,ABCE1,no.lambda,-0.646011328,0.238942805,0.417330628,0,0.415574037
testis,rpkm,SEMA3C,free.lambda,-0.366841415,0.239884459,0.824167546,0,0.416356837
testis,rpkm,FOXRED1,no.lambda,-0.644002836,0.240897022,0.414739651,0,0.417259259
testis,rpkm,RSF1,no.lambda,0.643089021,0.241787571,0.413563496,0,0.417947086
testis,rpkm,UNC13B,no.lambda,-0.640668452,0.244150846,0.410456062,0,0.421172641
testis,rpkm,EPB41L5,no.lambda,-0.639847422,0.244953854,0.409404723,0,0.421699012
testis,rpkm,ACRV1,no.lambda,0.635601336,0.249118113,0.40398906,0,0.427998057
testis,rpkm,ANP32B,no.lambda,0.633824186,0.250866639,0.401733101,0,0.430129641
testis,rpkm,AFMID,no.lambda,0.625127085,0.259470888,0.390783879,0,0.443620671
testis,rpkm,NDUFS6,no.lambda,-0.624813494,0.259782589,0.390391901,0,0.443620671
testis,rpkm,XPO4,no.lambda,0.620239633,0.264340134,0.384697205,0,0.450495157
testis,rpkm,MRPL34,no.lambda,0.618775693,0.265803318,0.382883355,0,0.452079138
testis,rpkm,ATXN7L2,no.lambda,0.617419243,0.267160981,0.38120652,0,0.453477657
testis,rpkm,PFAS,no.lambda,0.61459693,0.26999171,0.377729381,0,0.457365956
testis,rpkm,HIBADH,free.lambda,-0.033426839,0.270648206,0.910287302,1,0.457562935
testis,rpkm,TNFAIP3,no.lambda,0.612543236,0.272056486,0.375209222,0,0.459027577
testis,rpkm,ZXDC,free.lambda,-0.484204772,0.276850485,0.5955336,0,0.466187596
testis,rpkm,MINDY3,fix.lambda,-0.818778184,0.278158814,0.738830685,0.999933893,0.467461339
testis,rpkm,RCN2,no.lambda,-0.603694966,0.280999853,0.364447618,0,0.469140106
testis,rpkm,RERG,free.lambda,-0.56537901,0.280232886,0.638463688,0,0.469140106
testis,rpkm,RRM1,no.lambda,-0.603401857,0.281297419,0.3640938,0,0.469140106
testis,rpkm,RTL9,free.lambda,0.653966529,0.281373287,0.983438238,0,0.469140106
testis,rpkm,CDC123,free.lambda,-0.952430655,0.283295528,0.98189283,0,0.471417116
testis,rpkm,GRID2,no.lambda,0.599531898,0.285233894,0.359438491,0,0.473302434
testis,rpkm,HCLS1,no.lambda,-0.599225566,0.285546096,0.359071281,0,0.473302434
testis,rpkm,EEPD1,no.lambda,0.596731524,0.288091312,0.356088508,0,0.476487486
testis,rpkm,MAGI1,no.lambda,0.59624082,0.288592775,0.355503115,0,0.476487486
testis,rpkm,METTL9,no.lambda,-0.594453867,0.290420841,0.353375399,0,0.478572865
testis,rpkm,UHRF1BP1,no.lambda,0.592474483,0.292449273,0.351026014,0,0.480979677
testis,rpkm,KLK12,free.lambda,0.024444262,0.294897645,0.975531149,0,0.484066483
testis,rpkm,BAG5,free.lambda,-0.595643123,0.296353507,0.90464098,0,0.484578032
testis,rpkm,CCDC80,no.lambda,0.58887075,0.296151711,0.346768762,0,0.484578032
testis,rpkm,SS18,free.lambda,0.275047492,0.297196057,0.933846236,1,0.485019383
testis,rpkm,GLOD4,no.lambda,-0.586998659,0.298079843,0.344567426,0,0.485526205
testis,rpkm,MFSD14B,no.lambda,0.583422134,0.301772418,0.340381376,0,0.490597386
testis,rpkm,ATG3,free.lambda,-0.238859603,0.305502337,0.999587308,0,0.492512319
testis,rpkm,KCNS3,no.lambda,-0.580130443,0.305181244,0.336551327,0,0.492512319
testis,rpkm,L1TD1,free.lambda,0.48765772,0.304121438,0.981614307,0,0.492512319
testis,rpkm,MAOB,free.lambda,0.244818546,0.306349566,0.599997927,0,0.492512319
testis,rpkm,MRPL36,no.lambda,0.578918119,0.306439188,0.335146188,0,0.492512319
testis,rpkm,TTC21B,no.lambda,-0.581522022,0.303738934,0.338167863,0,0.492512319
testis,rpkm,FAM186B,free.lambda,0.470557958,0.308985203,0.486571691,0,0.495663762
testis,rpkm,SRRT,no.lambda,0.574225919,0.311320451,0.329735408,0,0.498451834
testis,rpkm,UGCG,no.lambda,0.573669883,0.311900203,0.329097133,0,0.498451834
testis,rpkm,TMX1,free.lambda,0.059832751,0.312859022,0.932751222,0,0.499042545
testis,rpkm,TMEM63B,no.lambda,0.566625671,0.319268562,0.321064642,0,0.508309158
testis,rpkm,VANGL1,no.lambda,0.565040228,0.320932965,0.319270464,0,0.510000416
testis,rpkm,TMEM176B,no.lambda,0.563979786,0.322047458,0.318073199,0,0.510813102
testis,rpkm,FAM71F1,no.lambda,0.561009448,0.325174378,0.314731599,0,0.511722233
testis,rpkm,INO80,no.lambda,0.560566411,0.325641421,0.314234702,0,0.511722233
testis,rpkm,NIF3L1,no.lambda,0.56185656,0.324281827,0.315682797,0,0.511722233
testis,rpkm,SGSH,no.lambda,0.562787306,0.323301877,0.316729555,0,0.511722233
testis,rpkm,TRMT6,free.lambda,0.144010655,0.32546844,0.999855062,0,0.511722233
testis,rpkm,COL3A1,fix.lambda,0.514833307,0.326971708,0.211608623,0.45193966,0.512861179
testis,rpkm,DCTD,no.lambda,0.556457416,0.32998112,0.309644857,0,0.515015035
testis,rpkm,NTNG2,no.lambda,0.556279809,0.330169025,0.309447227,0,0.515015035
testis,rpkm,PLCG1,free.lambda,0.095431026,0.329838244,0.673718063,1,0.515015035
testis,rpkm,DDX27,free.lambda,0.46638088,0.331170102,0.537491914,0,0.515626979
testis,rpkm,NBN,fix.lambda,0.674118145,0.3321026,0.272881021,0.638701944,0.516130096
testis,rpkm,PDE1C,no.lambda,0.55168991,0.335034348,0.304361746,0,0.518782619
testis,rpkm,TRIM24,no.lambda,0.552118992,0.33457876,0.304835375,0,0.518782619
testis,rpkm,NOP9,no.lambda,0.55003338,0.33679463,0.302536723,0,0.520556664
testis,rpkm,ATRN,no.lambda,-0.549274695,0.33760162,0.301702683,0,0.520853501
testis,rpkm,ZRANB1,no.lambda,-0.547154165,0.339859671,0.299377686,0,0.523383893
testis,rpkm,DHX9,no.lambda,-0.545504494,0.341618938,0.297575146,0,0.525138367
