gene_symbol,chromosome,sex-bias,tissue
FAM151A,1,F,Adipose
SALL1,16,F,Adipose
GYG2,X,F,Adipose
IP6K3,6,M,Adipose
SGCZ,8,M,Adipose
AMER2,13,M,Adipose
RXFP2,13,M,Adipose
CPAMD8,19,M,Adipose
AFF2,X,M,Adipose
DDX3Y,Y,M,Adipose
EIF1AY,Y,M,Adipose
KDM5D,Y,M,Adipose
NLGN4Y,Y,M,Adipose
PCDH11Y,Y,M,Adipose
RPS4Y1,Y,M,Adipose
TMSB4Y,Y,M,Adipose
USP9Y,Y,M,Adipose
UTY,Y,M,Adipose
ZFY,Y,M,Adipose
DDX3Y,Y,M,Amygdala
EIF1AY,Y,M,Amygdala
NLGN4Y,Y,M,Amygdala
PCDH11Y,Y,M,Amygdala
RPS4Y1,Y,M,Amygdala
TMSB4Y,Y,M,Amygdala
USP9Y,Y,M,Amygdala
UTY,Y,M,Amygdala
ZFY,Y,M,Amygdala
PROX1,1,F,Artery
OXGR1,13,F,Artery
ZSCAN4,19,F,Artery
MAP7D2,X,F,Artery
CPAMD8,19,M,Artery
DDX3Y,Y,M,Artery
EIF1AY,Y,M,Artery
KDM5D,Y,M,Artery
NLGN4Y,Y,M,Artery
PCDH11Y,Y,M,Artery
RPS4Y1,Y,M,Artery
SRY,Y,M,Artery
TBL1Y,Y,M,Artery
TMSB4Y,Y,M,Artery
TSPY2,Y,M,Artery
USP9Y,Y,M,Artery
UTY,Y,M,Artery
ZFY,Y,M,Artery
AK5,1,F,Breast
AMPD1,1,F,Breast
ANKRD65,1,F,Breast
C1orf106,1,F,Breast
C1orf116,1,F,Breast
C4BPA,1,F,Breast
C4BPB,1,F,Breast
CCDC163P,1,F,Breast
CD164L2,1,F,Breast
CD2,1,F,Breast
CITED4,1,F,Breast
CLDN19,1,F,Breast
COL8A2,1,F,Breast
CR2,1,F,Breast
ETV3L,1,F,Breast
FAM177B,1,F,Breast
FAM183A,1,F,Breast
FCRL2,1,F,Breast
FCRL5,1,F,Breast
FHAD1,1,F,Breast
GFI1,1,F,Breast
GPR25,1,F,Breast
IFFO2,1,F,Breast
IFNLR1,1,F,Breast
IL24,1,F,Breast
INSRR,1,F,Breast
KCNA3,1,F,Breast
KCNK1,1,F,Breast
KLHDC8A,1,F,Breast
LAD1,1,F,Breast
LAMB3,1,F,Breast
LAMC2,1,F,Breast
LCK,1,F,Breast
LGR6,1,F,Breast
LRRN2,1,F,Breast
MROH7,1,F,Breast
MYBPH,1,F,Breast
NTRK1,1,F,Breast
OBSCN,1,F,Breast
OR2L13,1,F,Breast
PADI2,1,F,Breast
PDE4B,1,F,Breast
PDZK1IP1,1,F,Breast
PIGR,1,F,Breast
PLA2G2D,1,F,Breast
PLCH2,1,F,Breast
RGS1,1,F,Breast
RNF186,1,F,Breast
RUNX3,1,F,Breast
S100A14,1,F,Breast
SFN,1,F,Breast
SLC35F3,1,F,Breast
ST6GALNAC5,1,F,Breast
TMEM61,1,F,Breast
TNFRSF18,1,F,Breast
TP73,1,F,Breast
TRIM17,1,F,Breast
TTC22,1,F,Breast
ZNF648,1,F,Breast
ZNF683,1,F,Breast
ATP6V1B1,2,F,Breast
BCL11A,2,F,Breast
C1QL2,2,F,Breast
CD207,2,F,Breast
CD8A,2,F,Breast
CD8B,2,F,Breast
CLEC4F,2,F,Breast
COL4A3,2,F,Breast
CYTIP,2,F,Breast
DTNB,2,F,Breast
DUSP2,2,F,Breast
EPCAM,2,F,Breast
EVA1A,2,F,Breast
FAM110C,2,F,Breast
FIGLA,2,F,Breast
FZD7,2,F,Breast
HOXD9,2,F,Breast
ICOS,2,F,Breast
IGKJ5,2,F,Breast
IQCA1,2,F,Breast
ITGB6,2,F,Breast
KRTCAP3,2,F,Breast
KYNU,2,F,Breast
LY75,2,F,Breast
LYPD6B,2,F,Breast
PDCD1,2,F,Breast
PTH2R,2,F,Breast
SCN2A,2,F,Breast
SDC1,2,F,Breast
SOX11,2,F,Breast
SPHKAP,2,F,Breast
ST6GAL2,2,F,Breast
TGFA,2,F,Breast
VAX2,2,F,Breast
VSNL1,2,F,Breast
WNT10A,2,F,Breast
XDH,2,F,Breast
ZAP70,2,F,Breast
ATP13A4,3,F,Breast
ATP13A5,3,F,Breast
CCR2,3,F,Breast
CD96,3,F,Breast
CLDN16,3,F,Breast
CMTM7,3,F,Breast
CNTN4,3,F,Breast
COL7A1,3,F,Breast
CXCR6,3,F,Breast
EPHB1,3,F,Breast
EPHB3,3,F,Breast
ESYT3,3,F,Breast
FAM3D,3,F,Breast
FETUB,3,F,Breast
FEZF2,3,F,Breast
KCNH8,3,F,Breast
LAMP3,3,F,Breast
LRRN1,3,F,Breast
LTF,3,F,Breast
MFI2,3,F,Breast
MST1R,3,F,Breast
NFKBIZ,3,F,Breast
OXTR,3,F,Breast
PLCH1,3,F,Breast
PRSS45,3,F,Breast
RARRES1,3,F,Breast
ROPN1,3,F,Breast
ROPN1B,3,F,Breast
RTP4,3,F,Breast
STX19,3,F,Breast
TP63,3,F,Breast
ADH4,4,F,Breast
CDKL2,4,F,Breast
CXCL5,4,F,Breast
CXCL6,4,F,Breast
DAPP1,4,F,Breast
DCHS2,4,F,Breast
EGF,4,F,Breast
FAM160A1,4,F,Breast
FDCSP,4,F,Breast
FGFBP1,4,F,Breast
JCHAIN,4,F,Breast
KIT,4,F,Breast
